Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Ritmo médio,Melhor ritmo,Subida total,Descida total,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de braçadas,Média de Swolf,Taxa média de braçadas,Tempo de mergulho,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração
Natação em alto mar,2021-09-29 10:58:13,false,"Benito Juárez Natação em alto mar","1,214","698","00:45:23","--","--","--","3:44","0:14","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1065","78","23","0:00","28.0","0:00","Não","45:23.46","1","0.0","00:37:38","00:45:23"
Natação em alto mar,2021-09-27 15:19:26,false,"Cozumel Natação em alto mar","483","131","00:16:06","--","--","--","3:20","0:25","--","--","0.00","0.0","0.0","0.0","0.0","0.0","411","71","25","0:00","28.0","0:00","Não","16:06.38","1","0.0","00:13:23","00:16:06"
Natação em alto mar,2021-09-24 17:18:17,false,"Cozumel Natação em alto mar","1,638","290","00:43:19","--","--","--","2:39","0:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1410","61","32","0:00","29.0","0:00","Não","00:40.26","17","0.0","00:37:52","00:43:19"
Natação em alto mar,2021-09-22 09:46:02,false,"Cozumel Natação em alto mar","1,865","332","00:39:27","--","--","--","2:07","0:13","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1102","46","27","0:00","29.0","0:00","Não","00:58.21","19","0.0","00:00:00","00:39:27"
Natação em alto mar,2021-09-21 17:53:06,false,"Cozumel Natação em alto mar","294","49","00:16:35","--","--","--","5:39","0:40","--","--","0.00","0.0","0.0","0.0","0.0","0.0","297","110","17","0:00","29.0","0:00","Não","03:02.67","3","0.0","00:00:00","00:16:35"
Natação em alto mar,2021-09-21 07:04:44,false,"Cozumel Natação em alto mar","2,037","359","00:43:31","--","--","--","2:08","0:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1385","49","31","0:00","28.0","0:00","Não","00:44.97","21","0.0","00:00:00","00:45:08"
Natação em alto mar,2021-09-20 18:41:34,false,"Cozumel Natação em alto mar","405","68","00:11:12","99","99","0.2","2:46","1:33","--","--","0.00","0.0","0.0","0.0","0.0","0.0","305","60","27","0:00","29.0","0:00","Não","00:06.05","5","0.0","00:00:00","00:11:12"
Natação em alto mar,2021-09-20 07:12:27,false,"Cozumel Natação em alto mar","1,421","262","00:45:32","--","--","--","3:12","0:11","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1443","73","31","0:00","28.0","0:00","Não","01:04.31","15","0.0","00:00:00","00:48:14"
Natação em alto mar,2021-09-19 18:16:16,false,"Cozumel Natação em alto mar","646","208","00:31:27","--","--","--","4:52","0:16","--","--","0.00","0.0","0.0","0.0","0.0","0.0","926","109","29","0:00","28.0","0:00","Não","02:48.89","7","0.0","00:00:00","00:31:27"
Natação em piscina,2021-09-16 12:06:59,false,"Natação em piscina","2,300","457","00:42:18","--","--","--","1:39","0:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1062","36","28","0:00","29.0","0:00","Não","02:02.15","4","0.0","00:00:00","00:42:26"
Natação em piscina,2021-09-15 06:17:46,false,"Natação em piscina","3,500","697","01:10:15","--","--","--","1:32","1:07","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1536","34","29","0:00","28.0","0:00","Não","00:04.29","40","0.0","00:00:00","01:10:30"
Natação em piscina,2021-09-14 12:35:16,false,"Natação em piscina","3,900","712","01:31:17","--","--","--","1:30","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1721","34","29","0:00","29.0","0:00","Não","00:01.22","40","0.0","00:00:00","01:31:23"
Natação em piscina,2021-09-13 09:43:05,false,"Natação em piscina","4,150","728","01:24:59","--","--","--","1:35","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1885","35","29","0:00","28.0","0:00","Não","00:05.91","50","0.0","00:00:00","01:42:50"
Natação em piscina,2021-09-12 07:56:53,false,"Natação em piscina","2,625","501","00:46:08","--","--","--","1:32","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1172","34","29","0:00","28.0","0:00","Não","00:02.89","16","0.0","00:00:00","00:46:23"
Natação em piscina,2021-09-10 13:01:06,false,"Natação em piscina","3,000","497","01:04:06","--","--","--","1:41","1:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1397","37","28","0:00","29.0","0:00","Não","00:05.60","44","0.0","00:00:00","01:04:20"
Natação em alto mar,2021-09-04 13:35:10,false,"Hilpoltstein Natação em alto mar","867","159","00:23:50","--","--","--","2:45","0:14","--","--","0.00","0.0","0.0","0.0","0.0","0.0","764","63","32","0:00","20.0","0:00","Não","01:07.68","9","0.0","00:00:00","00:24:39"
Natação em alto mar,2021-09-03 08:35:45,false,"Hilpoltstein Natação em alto mar","1,140","373","00:23:45","--","--","--","2:05","0:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","826","49","34","0:00","18.0","0:00","Não","00:47.72","12","0.0","00:00:00","00:23:45"
Natação em alto mar,2021-09-02 13:45:26,false,"Hilpoltstein Natação em alto mar","1,223","224","00:36:09","--","--","--","2:57","0:13","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1139","68","31","0:00","20.0","0:00","Não","00:42.94","13","0.0","00:00:00","00:38:31"
Natação em piscina,2021-08-27 11:39:28,false,"Natação em piscina","2,625","507","00:56:16","--","--","--","1:25","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1081","32","29","0:00","29.0","0:00","Não","00:12.23","42","0.0","00:00:00","00:57:30"
Natação em piscina,2021-08-26 11:11:49,false,"Natação em piscina","3,950","743","01:31:20","--","--","--","1:30","0:48","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1754","34","30","0:00","29.0","0:00","Não","00:07.45","42","0.0","00:00:00","01:35:12"
Natação em piscina,2021-08-23 12:17:59,false,"Natação em piscina","4,000","691","01:17:20","--","--","--","1:38","1:06","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1723","35","26","0:00","29.0","0:00","Não","00:06.50","36","0.0","00:00:00","01:17:28"
Natação em piscina,2021-08-20 17:06:55,false,"Natação em piscina","4,200","742","01:52:48","--","--","--","1:38","1:10","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1792","35","26","0:00","29.0","0:00","Não","00:06.36","52","0.0","00:00:00","01:58:42"
Natação em piscina,2021-08-18 14:44:13,false,"Natação em piscina","2,800","503","00:52:22","--","--","--","1:34","1:08","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1188","34","27","0:00","31.0","0:00","Não","00:10.44","42","0.0","00:00:00","00:52:50"
